class,train,val,test
abstract_art,250,25,26
abstract_expressionism,246,24,26
amateur,250,26,26
art_nouveau,251,25,26
baroque,250,26,25
chinese_landscape,183,14,15
constructivism,250,25,25
cubism,251,25,25
expressionism,250,25,25
fauvism,250,25,26
futurism,249,25,25
high_renaissance,251,26,25
minimalism,251,25,25
op_art,251,25,26
pop_art,250,25,25
post_impressionism,250,24,25
realism,251,25,23
renaissance,246,26,25
romanticism,249,25,25
surrealism,251,25,25
symbolism,250,25,25
