epoch,train_loss,train_acc,val_loss,val_acc,lr
0,2.394774766615879,0.30340557275541796,1.9559242129325867,0.431640625,9.972883382072954e-05
1,1.55232889711121,0.5864938080495357,1.6452411711215973,0.5546875,9.891830623632339e-05
2,1.1817963947484522,0.7149767801857585,1.620459035038948,0.55859375,9.757729755661011e-05
3,0.970536180484442,0.7900541795665634,1.6633261293172836,0.5703125,9.572050015330873e-05
4,0.8107176916098889,0.8506191950464397,1.551304467022419,0.615234375,9.336825748732972e-05
5,0.6898204603312929,0.9013157894736842,1.595654547214508,0.599609375,9.05463412215599e-05
6,0.6021548848093292,0.9318885448916409,1.6222620457410812,0.619140625,8.728566886113101e-05
7,0.5481413095085709,0.9539473684210527,1.5691167935729027,0.619140625,8.362196501476347e-05
8,0.5137603963598792,0.9674922600619195,1.5865825414657593,0.630859375,7.959536998847741e-05
9,0.48711263949488415,0.9794891640866873,1.6181012094020844,0.623046875,7.524999999999999e-05
10,0.4858688770988841,0.9760061919504643,1.6299539655447006,0.603515625,7.06334638322521e-05
11,0.468719650565842,0.982391640866873,1.5331418812274933,0.640625,6.579634122155988e-05
12,0.452497348005389,0.9862616099071208,1.529696762561798,0.6328125,6.079162869547907e-05
13,0.4455545861044048,0.9870356037151703,1.484055608510971,0.64453125,5.567415893174884e-05
14,0.43725307745698055,0.9883900928792569,1.487949252128601,0.65234375,5.05e-05
15,0.4318359744401626,0.9909055727554179,1.5094245597720146,0.638671875,4.532584106825115e-05
16,0.42620147047219453,0.9916795665634675,1.464785672724247,0.6640625,4.0208371304520894e-05
17,0.41813114910949895,0.9945820433436533,1.4625244587659836,0.650390625,3.520365877844009e-05
18,0.4141339604501371,0.9938080495356038,1.480620764195919,0.6484375,3.036653616774789e-05
19,0.40868789951006573,0.9967105263157895,1.5001824498176575,0.65625,2.5750000000000002e-05
20,0.4068914294978719,0.9961300309597523,1.4873702004551888,0.650390625,2.140463001152258e-05
21,0.4070207318406046,0.9955495356037152,1.4673640131950378,0.646484375,1.737803498523653e-05
22,0.40358870485682546,0.9955495356037152,1.4683735817670822,0.65234375,1.3714331138868993e-05
23,0.39994706415835724,0.9972910216718266,1.4697708413004875,0.6484375,1.0453658778440105e-05
24,0.3991291445714456,0.9969040247678018,1.4597986489534378,0.646484375,7.631742512670283e-06
25,0.39861510086942603,0.9980650154798761,1.4543652087450027,0.64453125,5.2794998466912506e-06
26,0.3989418163711642,0.9970975232198143,1.4642498791217804,0.65234375,3.4227024433898994e-06
27,0.3998915803285293,0.9957430340557275,1.4792755097150803,0.65234375,2.0816937636766182e-06
28,0.3983328772915734,0.9970975232198143,1.4580960497260094,0.65625,1.2711661792704665e-06
29,0.3965180957758868,0.9970975232198143,1.4474616721272469,0.650390625,1e-06
