epoch,train_loss,train_acc,val_loss,val_acc,lr
0,2.808756310262798,0.17124613003095976,2.351938784122467,0.33984375,9.972883382072954e-05
1,2.2142402831419012,0.3686145510835913,2.0290977209806442,0.427734375,9.891830623632339e-05
2,1.9054399272541942,0.47194272445820434,1.855014055967331,0.490234375,9.757729755661011e-05
3,1.7004325816660752,0.5367647058823529,1.7457205653190613,0.525390625,9.572050015330873e-05
4,1.5537003249297907,0.5853328173374613,1.666714921593666,0.53125,9.336825748732972e-05
5,1.436134389889093,0.621517027863777,1.5946335196495056,0.568359375,9.05463412215599e-05
6,1.3304644881943126,0.666795665634675,1.5224476531147957,0.58984375,8.728566886113101e-05
7,1.2556299456843623,0.6824690402476781,1.4847887083888054,0.587890625,8.362196501476347e-05
8,1.1696055752259713,0.7291021671826625,1.4714466631412506,0.611328125,7.959536998847741e-05
9,1.094075080053306,0.7523219814241486,1.4260711967945099,0.623046875,7.524999999999999e-05
10,1.0476354706434556,0.7660603715170279,1.4146028459072113,0.638671875,7.06334638322521e-05
11,1.005405608518624,0.7784442724458205,1.4125435501337051,0.623046875,6.579634122155988e-05
12,0.9500508183314477,0.7997291021671826,1.3713666051626205,0.638671875,6.079162869547907e-05
13,0.9194725420739915,0.81656346749226,1.3857205733656883,0.638671875,5.567415893174884e-05
14,0.8710723710648808,0.8303018575851393,1.3692034259438515,0.640625,5.05e-05
15,0.8516293153350736,0.8430727554179567,1.3762377873063087,0.642578125,4.532584106825115e-05
16,0.8116387482042666,0.8620356037151703,1.3655470609664917,0.646484375,4.0208371304520894e-05
17,0.8062555002577511,0.8595201238390093,1.3696305751800537,0.650390625,3.520365877844009e-05
18,0.7777021063698663,0.8641640866873065,1.3591402620077133,0.64453125,3.036653616774789e-05
19,0.7650031587223948,0.8769349845201239,1.3593102172017097,0.650390625,2.5750000000000002e-05
20,0.7514401357850911,0.8798374613003096,1.3598762527108192,0.646484375,2.140463001152258e-05
21,0.7436646789680292,0.881578947368421,1.371020644903183,0.64453125,1.737803498523653e-05
22,0.7458571453153351,0.8748065015479877,1.3573516383767128,0.65234375,1.3714331138868993e-05
23,0.7268366224971818,0.8918343653250774,1.3569953739643097,0.65625,1.0453658778440105e-05
24,0.7250312294489072,0.8904798761609907,1.358876921236515,0.6484375,7.631742512670283e-06
25,0.7118412094351686,0.8972523219814241,1.361554093658924,0.65234375,5.2794998466912506e-06
26,0.7118648084593407,0.8989938080495357,1.359451875090599,0.650390625,3.4227024433898994e-06
27,0.703917709397681,0.9040247678018576,1.3638993203639984,0.650390625,2.0816937636766182e-06
28,0.7106598137337484,0.8968653250773994,1.3747766464948654,0.65234375,1.2711661792704665e-06
29,0.6967483898739756,0.9028637770897833,1.3661337047815323,0.650390625,1e-06
