epoch,epoch_time_sec,train_images,images_per_sec
1,32.523290395736694,5168,158.90151141280114
2,41.51408886909485,5168,124.48785799674182
3,17.34685230255127,5168,297.9214851123118
4,17.328873872756958,5168,298.23057389347775
5,17.360336542129517,5168,297.69008149458745
6,17.3572998046875,5168,297.7421637093768
7,17.27765440940857,5168,299.114675958894
8,17.284883737564087,5168,298.989572534337
9,16.91888689994812,5168,305.4574470863002
10,17.081276893615723,5168,302.55349364025506
11,17.315576791763306,5168,298.4595928943193
12,17.164679050445557,5168,301.083404170371
13,17.04114580154419,5168,303.26599280264946
14,17.173282861709595,5168,300.9325614453617
15,17.546075582504272,5168,294.5387973338705
16,17.30040407180786,5168,298.7213465390438
17,17.251427173614502,5168,299.56941811192803
18,17.26500654220581,5168,299.3337991136218
19,17.349573135375977,5168,297.8747638155079
20,17.406226873397827,5168,296.90524187630376
21,17.329688549041748,5168,298.2165539429597
22,17.191453456878662,5168,300.61448922645775
23,17.032894611358643,5168,303.41290296915486
24,17.00267195701599,5168,303.95222663032524
25,17.231140613555908,5168,299.9221070678446
26,17.230168104171753,5168,299.93903534514726
27,17.331552982330322,5168,298.1844734438295
28,17.22757315635681,5168,299.9842144389941
29,17.419705867767334,5168,296.6755029752048
30,17.231027603149414,5168,299.9240741193761
