epoch,acc,loss,val_acc,val_loss
0,0.2219427227973938,3.0050361156463623,0.375,2.607036590576172
1,0.41524767875671387,2.1367883682250977,0.41015625,2.317352771759033
2,0.5179953575134277,1.7749193906784058,0.439453125,2.087822437286377
3,0.5897833108901978,1.5611201524734497,0.47265625,1.9482744932174683
4,0.6420278549194336,1.3957403898239136,0.498046875,1.8331793546676636
5,0.6964009404182434,1.232680320739746,0.494140625,1.793344497680664
6,0.7383900880813599,1.125178575515747,0.5390625,1.7105157375335693
7,0.7823142409324646,1.0189216136932373,0.552734375,1.7789286375045776
8,0.8084365129470825,0.9477737545967102,0.564453125,1.7450746297836304
9,0.8279798626899719,0.8863070011138916,0.546875,1.7236922979354858
10,0.8542956709861755,0.8214434385299683,0.59375,1.6719036102294922
11,0.8763545155525208,0.7709383964538574,0.578125,1.6988768577575684
12,0.8918343782424927,0.7337335348129272,0.595703125,1.7011630535125732
13,0.9077012538909912,0.6983124613761902,0.60546875,1.6942991018295288
14,0.9111841917037964,0.6804396510124207,0.6015625,1.6451423168182373
15,0.9299535751342773,0.6446822285652161,0.59375,1.7093454599380493
16,0.9295665621757507,0.646582841873169,0.58984375,1.6879304647445679
17,0.9363390207290649,0.6158875226974487,0.595703125,1.6455256938934326
18,0.9433049559593201,0.6089114546775818,0.62890625,1.6160392761230469
19,0.9483358860015869,0.6011644005775452,0.61328125,1.6558939218521118
20,0.9489164352416992,0.5946661233901978,0.6171875,1.6337072849273682
21,0.9549148678779602,0.5876603722572327,0.61328125,1.6454284191131592
22,0.9576238393783569,0.575148344039917,0.615234375,1.6449551582336426
23,0.9583978056907654,0.5681666731834412,0.61328125,1.623714566230774
24,0.9609133005142212,0.5592905282974243,0.611328125,1.6271841526031494
25,0.9580108523368835,0.5640119910240173,0.607421875,1.646003246307373
26,0.9622678160667419,0.5557274222373962,0.61328125,1.633736491203308
27,0.9698142409324646,0.5486337542533875,0.609375,1.6326574087142944
28,0.9638158082962036,0.5590192079544067,0.611328125,1.6328327655792236
29,0.9665247797966003,0.5556760430335999,0.607421875,1.6349437236785889
