epoch,loss,acc,val_loss,val_acc,epoch_time_sec
0,3.0050361156463623,0.2219427227973938,2.607036590576172,0.375,32.523290395736694
1,2.1367883682250977,0.41524767875671387,2.317352771759033,0.41015625,41.51408886909485
2,1.7749193906784058,0.5179953575134277,2.087822437286377,0.439453125,17.34685230255127
3,1.5611201524734497,0.5897833108901978,1.9482744932174683,0.47265625,17.328873872756958
4,1.3957403898239136,0.6420278549194336,1.8331793546676636,0.498046875,17.360336542129517
5,1.232680320739746,0.6964009404182434,1.793344497680664,0.494140625,17.3572998046875
6,1.125178575515747,0.7383900880813599,1.7105157375335693,0.5390625,17.27765440940857
7,1.0189216136932373,0.7823142409324646,1.7789286375045776,0.552734375,17.284883737564087
8,0.9477737545967102,0.8084365129470825,1.7450746297836304,0.564453125,16.91888689994812
9,0.8863070011138916,0.8279798626899719,1.7236922979354858,0.546875,17.081276893615723
10,0.8214434385299683,0.8542956709861755,1.6719036102294922,0.59375,17.315576791763306
11,0.7709383964538574,0.8763545155525208,1.6988768577575684,0.578125,17.164679050445557
12,0.7337335348129272,0.8918343782424927,1.7011630535125732,0.595703125,17.04114580154419
13,0.6983124613761902,0.9077012538909912,1.6942991018295288,0.60546875,17.173282861709595
14,0.6804396510124207,0.9111841917037964,1.6451423168182373,0.6015625,17.546075582504272
15,0.6446822285652161,0.9299535751342773,1.7093454599380493,0.59375,17.30040407180786
16,0.646582841873169,0.9295665621757507,1.6879304647445679,0.58984375,17.251427173614502
17,0.6158875226974487,0.9363390207290649,1.6455256938934326,0.595703125,17.26500654220581
18,0.6089114546775818,0.9433049559593201,1.6160392761230469,0.62890625,17.349573135375977
19,0.6011644005775452,0.9483358860015869,1.6558939218521118,0.61328125,17.406226873397827
20,0.5946661233901978,0.9489164352416992,1.6337072849273682,0.6171875,17.329688549041748
21,0.5876603722572327,0.9549148678779602,1.6454284191131592,0.61328125,17.191453456878662
22,0.575148344039917,0.9576238393783569,1.6449551582336426,0.615234375,17.032894611358643
23,0.5681666731834412,0.9583978056907654,1.623714566230774,0.61328125,17.00267195701599
24,0.5592905282974243,0.9609133005142212,1.6271841526031494,0.611328125,17.231140613555908
25,0.5640119910240173,0.9580108523368835,1.646003246307373,0.607421875,17.230168104171753
26,0.5557274222373962,0.9622678160667419,1.633736491203308,0.61328125,17.331552982330322
27,0.5486337542533875,0.9698142409324646,1.6326574087142944,0.609375,17.22757315635681
28,0.5590192079544067,0.9638158082962036,1.6328327655792236,0.611328125,17.419705867767334
29,0.5556760430335999,0.9665247797966003,1.6349437236785889,0.607421875,17.231027603149414
